name,Results Titles,Ads count,Number of Results,Number of Titles Contain Query in First Page,Map Exists,Results Snippets,Latitude,Longitude,Altitude,Company Type,Number of Employees,Company Website,Results From Facebook,Results From Twitter,Results From Linkedin,Results From Instagram,Results From Wikipedia,Results From Youtube,Results From Wordpress,Results From Crunchbase,Company Bio,Company Revenue,Company Headquarters,Company Executives,Establishment Year,Company Stock Price,Subsidiaries,Has Official Linkedin Profile,Has Official Instagram Profile,Has Official Youtube Channel,Has Official Facebook Profile,Has Official Twitter Profile,Address,Rating,Number of Reviews,Phone,Customer Service Phone Number,Has Customer Service,Unclaimed Listing,Avg Opening Hour,Avg Closing Hour,Number Of Weekly Working Hours,Number Of Closed Days,Permanently Closed,Query in Pos 1 Title,Does the Query Appear in First Snippet,Link of the First Result,Title of the First Result,Number of Ads Contain Query,Number of Ads Contain Site Link,Ads Titles,Ads Description,Number of Sitelinks in Ads,Is Knowledge Graph Exist,Max Price in Shopping List,Min Price in Shopping List,Avg Price in Shopping List,Std Price in Shopping List,Number of Prices presented on Shopping List,Max Reviews in Shopping List,Min Reviews in Shopping List,Avg Number of Reviews for Product in Shopping List,Std Reviews in Shopping List,Total Number of Reviews in Shopping List,Number of Products with Reviews in Shopping List,Max Rating for Product in Shopping List,Min Rating for Product in Shopping List,Avg Rating for Product in Shopping List,Std Rating for Product in Shopping List,Number of Products with Rating in Shopping List,Number of Results in Big Rerailers Websites in Shopping List Results,Number of Unique Retailers in Shopping List,Shopping List Exist,Number of Results in Shopping List,Times the Query Appear in First Snippet
Bullseye RV Repair LLC,"bullseye rv repair llc;contact - bullseye rv repair llc;about us - bullseye rv repair llc;bullseye rv repair llc - 15 reviews - auto repair - 4729 w ...;bullseye rv repair llc | better business bureau® profile;bullseye rv repair llc 4729 w marconi ave glendale, az ...;bullseye mobile rv repair llc reviews - glendale, az ...;bullseye mobile rv repair llc company profile | glendale ...;bullseye rv repair, llc, glendale | dometic;bullseye rv repair, llc, glendale | dometic",0,449000,8,False,"bullseye rv repair llc provides insurance repairs and many extended warranty policies. we provide rv repairs and remodeling for: awnings, plumbing, electrical, solar and more..;bullseye rv repair, llc. 602- 843-8816. e-mail: bullseyerv@hotmail.com. owner: larry van liew 4729 w. marconi ave. glendale, az 85306. comments or ...;my name is larry van liew, my son caleb and i are the owners/operators of bullseye rv repair llc. my grandfather started the first rv dealership in arizona in ...;15 reviews of bullseye rv repair llc ""larry and his son caleb worked on several issues in my rv this am. both men worked hard, and efficiently.;bbb accredited since 5/20/1999. rv repair in glendale, az. see bbb rating, reviews, complaints, request a quote & more.",,,,,,bullseyervrepair.com,False,False,False,False,False,False,False,False,,0.0,,,,0.0,,False,False,False,False,False,,,,,,False,,,,0.0,0,False,True,True,http://bullseyervrepair.com/,bullseye rv repair llc,0,0,,,0,False,,,,,,,,,,,,,,,,,,,False,,1
Luxury Rv's Of Arizona,"luxury rvs of arizona;luxury rvs of arizona - home | facebook;rv dealers in mesa, arizona | luxury rv's of arizona - rvt.com;luxury rv's of arizona - 23 photos - rv dealers - 2661 e ...;arizona luxury coach | motorhome brokerage | used luxury ...;luxury rvs of arizona | better business bureau® profile;discounttrailersandrvs.com luxury rvs of arizona in 2661 e ...;arizona rv rental deals - outdoorsy",0,1280000,4,True,"luxury rvs of arizona is an rv dealer: phoenix az, mesa az, new motorhome or used motorhome in phoenix arizona or mesa arizona. with a fantastic ...;luxury rvs of arizona - 2661 e main st, mesa, arizona 85213 - rated 3.8 based on 10 reviews ""i could not have asked for a smoother transaction. they were...;luxury rvs of arizona, the southwestï¿½s premier used dealer for holiday rambler, safari, roadtrek, damon, four winds and beaver motorhomes invites you ...;9 reviews of luxury rv's of arizona ""after searching main st. for an rv for 2 weeks we ended up here. from grady showing us the trailer, chris in sales, dick in ...;arizona's premier luxury coach dealership, located in phoenix, arizona. visit our air-conditioned showroom today to view our used luxury motorohomes on ...",33.4146473,-111.7733506,15.0,"RV dealer in Mesa, Arizona",,http://www.luxuryrvsofarizona.com/,True,False,False,False,False,False,False,False,,0.0,,,,0.0,,False,False,False,True,False,"2661 E Main St, Mesa, AZ 85213",4.1,71.0,(480) 461-9500,,False,True,9.0,17.0,48.0,1,False,True,False,https://www.luxuryrvsofarizona.com/,luxury rvs of arizona,0,0,,,0,True,,,,,,,,,,,,,,,,,,,False,,0
LV Park and Sell,"inventory - las vegas park and sell - las vegas, nv - 702 ...;las vegas park and sell - las vegas, nv - 702-452-0220 ...;lv park and sell - home | facebook;lv park and sell - 11 reviews - rv dealers - 3115 meade ...;las vegas park and sell in 3115 meade avenue las vegas ...;lv park and sell | better business bureau® profile;rv dealers in las vegas, nevada | las vegas park and sell;lv park and sell 3115 meade ave las vegas, nv rv dealers ...;lv park & sell 3115 meade ave, las vegas, nv 89102 - yp.com;lv park & sell las vegas nv, 89102 – manta.com",0,17300000,6,True,"boats, rvs, autos and more. sell it through us today and get it sold! everything is for sale by owner. we provide storage and extensive advertising.;boats, rvs, autos and more. sell it through us today and get it sold! everything is for sale by owner. we provide storage and extensive advertising.;lv park and sell - 3115 meade ave, las vegas, nevada 89102 - rated 4.2 based on 5 reviews ""best customer service i've ever experienced!!! 5 stars for...;11 reviews of lv park and sell ""i had a great experience with lv park and sell and my family and i absolutely love using our travel trailer for the first time over ...;las vegas park and sell in 3115 meade avenue las vegas, nv 89102 on rv trader.",36.136018799999995,-115.18298909999999,15.0,"RV dealer in the Clark County, Nevada",,http://www.lvparkandsell.com/,True,False,False,False,False,False,False,False,,0.0,,,,0.0,,False,False,False,True,False,"3115 Meade Ave, Las Vegas, NV 89102",3.8,67.0,(702) 452-0220,,False,True,9.0,17.0,40.0,2,False,False,False,https://www.lvparkandsell.com/inventory.php,"inventory - las vegas park and sell - las vegas, nv - 702 ...",0,0,,,0,True,,,,,,,,,,,,,,,,,,,False,,0
Moon Valley Motor Care,"moon valley motor care: home;moon valley motor care - 25 photos & 18 reviews - auto ...;moon valley motor care | phoenix, az | verified reviews;moon valley motor care - home | facebook;moon valley motor care | better business bureau® profile;moon valley motor care 14405 n. 7th st. phoenix, az auto ...;moon valley motor care reviews, ratings | auto repair near ...;moon valley motor care - automotive shop in north mountain",0,14700000,8,True,"steering and suspension-tires-brake systems-electrical systems-transmission-oil changes and tune ups-air conditioning.;18 reviews of moon valley motor care ""i have been taking my vehicles to moon valley motor care for the past decade! they have worked on my volkswagen ...;6 new reviews for moon valley motor care in the past month. on 06/11/2020, rhonda h. wrote 'rhonda said she received good service.';moon valley motor care - 14405 n. 7th st., phoenix, arizona 85022 - rated 4.2 based on 3 reviews ""i have been using mv for about 8 years now . i feel...;bbb accredited since 3/10/2015. auto repair in phoenix, az. see bbb rating, reviews, complaints, request a quote & more.",33.6168963,-112.0651034,15.0,"Auto repair shop in Phoenix, Arizona",,https://www.moonvalleymotorcare.com/,True,False,False,False,False,False,False,False,,0.0,,,,0.0,,False,False,False,True,False,"14405 N 7th St, Phoenix, AZ 85022",4.5,81.0,(602) 993-7414,,False,True,8.0,17.0,45.0,2,False,True,False,https://www.moonvalleymotorcare.com/,moon valley motor care: home,0,0,,,0,True,,,,,,,,,,,,,,,,,,,False,,0
Power RV'z,"mesa, arizona, rv, pre-owned, used, consignment, 5th ...;used inventory - toy hauler;power rvz in 8808 east main st. mesa, az 85207 - rv trader;power rv'z - rv dealers - 8808 e main st, mesa, az - phone ...;power rv'z & trucks, llc | better business bureau® profile;power rv'z is an rv dealership in mesa, az;power rvz - mesa, arizona | facebook;power rvz - home | facebook;power rv'z 8808 e main st mesa, az rv dealers - mapquest;power rv'z - mesa, az - power rv'z - mesa, az - youtube",0,111000000,5,True,"power rv'z, mesa, phoenix, tucson, az, pre-owned inventory, used, buy, sell, consignment, class a, b, c, 5th wheel, toy hauler, travel trailer, truck, boat,;performance cookies. targeting cookies. more information. privacy preference center. active. always active. save settings. allow all. power rv'z logo ...;buy•sell•consign at power rv'z. shop our selection of used class a, class c, travel trailers, toy haulers, 5th wheels and tent trailers by ...;5 reviews of power rv'z ""at the risk of sounding over the top, this may very well be the best experience we have ever had with a vehicle dealer of any type.;this organization is not bbb accredited. rv dealers in mesa, az. see bbb rating, reviews, complaints, & more.",33.4158615,-111.640943,15.0,"RV dealer in Maricopa County, Arizona",,http://www.powerrvz.com/,True,False,False,False,False,True,False,False,,0.0,,,,0.0,,False,False,False,True,False,"8808 E Main St, Mesa, AZ 85207",4.4,39.0,(480) 832-0707,,False,True,9.0,16.5,38.0,2,False,False,True,https://powerrvz.com/,"mesa, arizona, rv, pre-owned, used, consignment, 5th ...",0,0,,,0,True,,,,,,,,,,,,,,,,,,,False,,1
RV & Boat Rentals Las Vegas,"rv & boat rentals las vegas;rv & boat rentals las vegas - 92 photos - rv rental - 11 ...;rv & boat rentals las vegas reviews & rv rentals ...;rv & boat rentals las vegas - home | facebook;boat rentals - las vegas rv club;the 9 best boat rentals in nevada!;callville bay marina: callville bay full service marina;rv & boat rentals las vegas 11 alberon gardens way ...;rv, boat & powersport rentals - sinfully fun rentals;lake mead boat rentals, wakeboard boat rentals, ski boat ...",0,5610000,6,True,"rv & boat rentals las vegas. we are family owned rv rental and management company in las vegas, nv. your safety, comfort and satisfaction are our number one priority and that's why we only trust and use reputable brands.;3 reviews of rv & boat rentals las vegas ""had a great time with the boat in lake mead. angie was wonderful. their boat was excellent. she is awesome.;hi, we are rv & boat rentals las vegas. our family loves camping, traveling, and boating but couldn't justify owning multiple recreational ""toys"". by renting our ...;rv & boat rentals las vegas. 559 likes. we love to share our passion of exploring and boating!!! we have a fleet of driveable bunkhouse rv's and a large,...;lake meade marina. pontoon patio boat rental 22-25 feet pontoon boats. powered by mercury 4 stroke engines. seats 8-10 people $50 per ...",36.0286115,-115.09212209999998,10.0,,,http://rvboatrentalslv.com/,True,False,False,False,False,False,False,False,,0.0,,,,0.0,,False,False,False,True,False,,4.1,15.0,(702) 577-8971,,False,True,6.0,20.0,98.0,0,False,True,True,https://rvboatrentalslv.com/,rv & boat rentals las vegas,0,0,,,0,True,,,,,,,,,,,,,,,,,,,False,,1
Salt River Rafting,"salt river rafting in arizona - whitewater rafting near ...;salt river rafting - arizona rafting trips | mild to wild rafting;salt river | wilderness aware rafting colorado & arizona;salt river rafting - experience scottsdale;white water rafting salt river, outdoor activities | scottsdale ...;salt river rafting (whiteriver) - 2020 all you need to know ...;salt river canyon | arizona rafting - salt river rafting;salt river rafting trips in arizona | ava rafting;salt river tubing | fun in the sun !",0,3150000,6,True,"the salt river is the premier whitewater rafting in arizona! raft this spring march - may. family friendly day trips available near phoenix and tuscon.;experience arizona's spectacular salt river rafting with exciting class iii whitewater. the salt river near phoenix is perfect for rafting trips ranging in length from ...;trips depart just north of globe, arizona and the metropolitan areas of phoenix and tucson. suitable for all skill levels, raft during march, april and early may with ...;raft arizona's ""other"" grand canyon, the incredibly beautiful upper salt river near phoenix & tucson! our most popular trip is the full day adventure running 10 ...;looking for a white water adventure in majestic arizona? consider the thrill of a salt river rafting trip by arizona rafting. book your trip today & save!",34.179300500000004,-111.92952520000001,7.0,,,https://raftingsaltriver.com/,False,False,False,False,False,False,False,False,,0.0,,,,0.0,,False,False,False,False,False,,4.8,32.0,(800) 425-5253,,False,True,9.0,17.0,56.0,0,False,True,False,https://raftingsaltriver.com/,salt river rafting in arizona - whitewater rafting near ...,0,0,,,0,True,,,,,,,,,,,,,,,,,,,False,,0
Sand Highway RV Rentals,"sand highway rv rentals llc | rent rvs, atvs, boats ...;sand highway rv rentals llc - home | facebook;sand highway rv rentals - 51 photos & 31 reviews - rv ...;sand highway rv reviews & rv rentals | outdoorsy;sand highway rv rentals - sun city, arizona - webreserv;sand highway rv rentals llc 11819 w harmony ln sun ...",0,6020000,5,True,"our nearly all-inclusive rental experience is like no other, ensuring you leave the lot with everything you need to fully enjoy your trip. contact us at (602) 730-4505 by call or text to discover the unique benefits of doing business with sand highway rv.;sand highway rv rentals llc - 11819 w harmony ln, sun city, arizona 85373 - rated 5 based on 26 reviews ""all staff are.friendly, helpful, and...;31 reviews of sand highway rv rentals ""best prices around! quality equipment. they do their best to make the customer happy. thats hard to find nowadays.;team sand highway rv canceled the booking 7 days before departure. this is an automated posting. rc. ryan cook renter. june ...;availability and online booking for sand highway rv rentals, sun city, arizona. (rv rentals). az rv rental company in phoenix offering pristine units that are ...",33.6757507,-112.3150024,15.0,"Recreational vehicle rental agency in Maricopa County, Arizona",,https://www.sandhighwayrv.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,True,False,False,False,False,False,False,False,,0.0,,,,0.0,,False,False,False,True,True,"11819 W Harmony Ln, Sun City, AZ 85373",4.9,312.0,(602) 730-4505,,False,True,9.0,16.0,43.0,1,False,True,False,https://www.sandhighwayrv.com/,"sand highway rv rentals llc | rent rvs, atvs, boats ...",0,0,,,0,True,,,,,,,,,,,,,,,,,,,False,,0
Scottsdale Trailer Corral,"scottsdale trailer corral - scottsdale, arizona - campground ...;scottsdale trailer corral - 1 photos, 1 reviews - scottsdale, az -;scottsdale trailer corral | bookyoursite;scottsdale trailer corral - rv parks - 3202 n scottsdale rd ...;scottsdale trailer corral | near scottsdale arizona - allstays;scottsdale trailer corral - home | facebook;scottsdale trailer corral - experience scottsdale;scottsdale trailer corral scottsdale, arizona | rv park ...;scottsdale trailer corral, scottsdale, az | rvparking.com",0,310000,9,True,"scottsdale trailer corral in scottsdale, arizona: 7 reviews, 0 photos, & 2 tips from fellow rvers. scottsdale trailer corral in scottsdale is rated 7.1 of 10 at ...;reserve scottsdale trailer corral in scottsdale, arizona. read reviews, amenities, activities, and view photos and maps.;this is an old mobile home park that is trying to convert to an rv park. no good place to hook up your tow car, filthy (truly) bathrooms. junker cars in som… read ...;4 reviews of scottsdale trailer corral ""for what it is, the rv park is nice. they have long term residents and it's no frills. no activities, no pool, no clubhouse, etc.;scottsdale trailer corral. details - map - reviews - nearest. campground location: 3202 n scottsdale rd, scottsdale ...",33.4846717,-111.92719070000001,15.0,"Campground in Scottsdale, Arizona",,https://www.facebook.com/Scottsdale-Trailer-Corral-116133511742384,True,False,False,False,False,False,False,False,,0.0,,,,0.0,,False,False,False,False,False,"3202 N Scottsdale Rd # 11, Scottsdale, AZ 85251",4.4,37.0,(480) 947-8532,,False,True,,,0.0,0,False,True,True,https://www.campgroundreviews.com/regions/arizona/scottsdale/scottsdale-trailer-corral-6460,"scottsdale trailer corral - scottsdale, arizona - campground ...",0,0,,,0,True,,,,,,,,,,,,,,,,,,,False,,2
9920 Apartments,"9920 apartments apartments - phoenix, az | apartments.com;9920 apartments | apartments in phoenix, az;9920 apartments - glendale, az 85305 - apartment guide;9920 apartments - phoenix, az | apartment finder;9920 apartments - 14 reviews | phoenix, az apartments for ...;9920 apartments - 51 photos & 19 reviews - apartments ...;9920 apartments - 9920 west camelback rd | glendale, az ...;9920 apartments;9920 apartments 9920 w camelback rd ... - realtor.com;9920 apartments phoenix, az - abodo",0,630000,10,True,"see all available apartments for rent at 9920 apartments in phoenix, az. 9920 apartments has rental units ranging from 768-1835 sq ft starting at $1025.;9920 apartments provides apartments for rent in the phoenix, az area. discover floor plan options, photos, amenities, and our great location in phoenix.;find your new home at 9920 apartments located at 9920 west camelback rd, glendale, az 85305. floor plans starting at $1025. check availability now!;1, 2 and 3 bedroom apartments in phoenix, az 85037. 9920 apartment homes: inspired by nature. built for you. expand your lifestyle and experience the latest ...;9920 apartments is an apartment in phoenix in zip code 85037. this community has a 1 - 3 bedroom, 1 - 2 bathroom, and is for rent for $1,235 - $1,691. nearby ...",33.5093538,-112.2747953,15.0,"Apartment building in Phoenix, Arizona",,http://www.9920apartments.com/,False,False,False,False,False,False,False,False,,0.0,,,,0.0,,False,False,False,False,False,"9920 W Camelback Rd, Phoenix, AZ 85037",3.9,57.0,(623) 877-4800,,False,True,9.0,18.0,52.0,1,False,True,True,https://www.apartments.com/9920-apartments-phoenix-az/kn575rb/,"9920 apartments apartments - phoenix, az | apartments.com",0,0,,,0,True,,,,,,,,,,,,,,,,,,,False,,2
