name,address,latitude,longitude,categories,review_stars,"KNeighbors(latitude, longitude)",review_stars,"""rv"" in categories","KNeighbors(Latitude, Longitude)","""world"" in Results Snippets","""camping"" in Results Snippets","""camping"" in Title of the First Result","""camping"" in Results Titles","""world rv"" in Results Titles","""motorhomes"" in Results Snippets","""campers"" in Results Snippets","""accessories"" in Results Titles","""rated based"" in Results Snippets","""parts accessories"" in Results Snippets","""5th wheels"" in Results Snippets","""sale"" in Results Titles","""based"" in Results Snippets","""service center"" in Title of the First Result","""rvs"" in Results Titles","""buy"" in Results Snippets","""dealer"" in Results Titles","""inventory"" in Results Snippets","""travel"" in Results Titles","KNeighbors(LAT, LONG)",Number of Related Links,day(Website Creation Date),month(Website Creation Date),"""service"" in Website Description",year(Website Creation Date),Percentile,Number of Website Subdomains,"""rv"" in Website Description",MedianLoadTime,"""camping"" in Website Description","""buy"" in Website Description","""rv dealer"" in Title","""dealer"" in Title",Number of Connections to Youtube,"""trailers"" in Website Description",month(Domain Update Date),Domain Creation Date - Domain Update Date,Domain Creation Date - Domain Expiry Date,Stopword Count(Associated Keywords),"""pinterest instagram"" in Social Networks",Number of Social Networks,"""facebook"" in Social Networks",Year of Establishment,AdultContent->False,AdultContent->empty,Results From Facebook->False,Results From Facebook->True,Url Split(Company Website).company_website_10->empty,Url Split(Company Website).company_website_10->utm_campaign=Yext%20Directory%20Listing,Url Split(Company Website).company_website_10->utm_medium=organic,Url Split(Company Website).company_website_10->utm_source=moz,_TARGET_
Hobo Camper Country,4020 Edmonton Trail NE,51.08852279999999,-114.0515067,"RV Repair, Auto Repair, Automotive",1,3.25,1,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,4.0,-2528.0,-2922.0,,0,,0,,0,1,1,0,1,0,0,0,1.5
Hobo Camper Country,4020 Edmonton Trail NE,51.08852279999999,-114.0515067,"RV Repair, Auto Repair, Automotive",2,3.25,2,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,4.0,-2528.0,-2922.0,,0,,0,,0,1,1,0,1,0,0,0,1.5
Hobo Camper Country,4020 Edmonton Trail NE,51.08852279999999,-114.0515067,"RV Repair, Auto Repair, Automotive",1,3.25,1,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,4.0,-2528.0,-2922.0,,0,,0,,0,1,1,0,1,0,0,0,1.5
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
