name,violent_crime,_TARGET_
Hobo Camper Country,,1.5
Hobo Camper Country,,1.5
Hobo Camper Country,,1.5
E's RV Appliance Repair,,5.0
E's RV Appliance Repair,,5.0
E's RV Appliance Repair,,5.0
E's RV Appliance Repair,,5.0
E's RV Appliance Repair,,5.0
E's RV Appliance Repair,,5.0
E's RV Appliance Repair,,5.0
E's RV Appliance Repair,,5.0
E's RV Appliance Repair,,5.0
E's RV Appliance Repair,,5.0
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Montréal Sud KOA,,3.5
Mini Self Storage Stephanie,,4.0
Mini Self Storage Stephanie,,4.0
Mini Self Storage Stephanie,,4.0
Mini Self Storage Stephanie,,4.0
Mini Self Storage Stephanie,,4.0
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Latham RV Phoenix,,2.5
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
Blue Dog RV,,3.0
